,y_coor,sgg_cd,theme_cd,sido_nm,corp_cnt,sgg_nm,sido_cd,upregion_vs_corp_per,theme_cd_nm,corp_vs_family_rate,x_coor,biz_worker_cnt,avg_worker_rate,corp_vs_worker_rate,corp_vs_ppltn_rate
59,1845157,560,J003,충청남도,25,홍성군,34,4.8,한방병원,1747.6,924944,127,5,1702,3903.4
60,1849902,043,J003,충청북도,85,청주시 흥덕구,33,20.3,한방병원,1358.1,988309,508,6,1857.4,3096.5
61,1874748,550,J003,충청북도,16,진천군,33,3.8,한방병원,2288.8,994694,54,3,3825.3,5113.8
62,1676689,020,J003,부산광역시,33,서구,21,2.8,한방병원,1447.3,1138120,163,5,1369,3063.1
63,1682455,020,J003,광주광역시,99,서구,24,24.9,한방병원,1280.4,940831,1011,10,1669.7,2885.1
64,1699894,520,J003,경상남도,13,함안군,38,1.6,한방병원,2057.9,1084640,45,3,3479.1,4530
65,1927318,160,J003,경기도,71,군포시,31,2.1,한방병원,1470.7,948731,316,4,1605.5,3639.5
66,1790350,540,J003,충청남도,14,서천군,34,2.7,한방병원,1642.8,930213,49,4,1987.6,3429.1
67,1909197,050,J003,강원도,7,태백시,32,1.8,한방병원,2674.7,1131401,32,5,2847.6,5665.3
68,1938630,060,J003,경기도,90,광명시,31,2.7,한방병원,1229.8,943807,452,5,1148.3,3128.4
69,1699414,640,J003,전라남도,14,영광군,36,3.5,한방병원,1568.4,907143,59,4,1665.3,3389.3
70,1733602,550,J003,전라북도,9,임실군,35,1.7,한방병원,1360.8,976144,34,4,1689.4,2718.8
71,1955185,010,J003,서울특별시,130,종로구,11,3.5,한방병원,492.2,953858,570,4,2115.4,1051.4
72,1931219,023,J003,경기도,206,성남시 분당구,31,6.1,한방병원,868.6,965120,1036,5,1668.8,2191.1
73,1693721,080,J003,부산광역시,81,북구,21,7,한방병원,1435.1,1138630,417,5,799.3,3396.2
74,1667945,540,J003,경상남도,11,고성군,38,1.3,한방병원,2024.9,1068996,37,3,2038.6,4273.1
75,1832504,520,J003,충청북도,8,보은군,33,1.9,한방병원,1809.6,1020543,37,5,2022.1,3755.4
76,1955597,120,J003,경기도,74,구리시,31,2.2,한방병원,991.2,967447,327,4,911.9,2490.3
77,1717849,570,J003,전라북도,10,고창군,35,1.8,한방병원,2364.8,920575,36,4,2199.6,4961.5
78,1950181,250,J003,서울특별시,190,강동구,11,5.1,한방병원,976,968817,1090,6,805.5,2323.4
79,1723277,080,J003,경상남도,25,밀양시,38,3,한방병원,1870.4,1116967,112,4,1840.2,3903.8
80,1924643,630,J003,경상북도,2,울릉군,37,0.3,한방병원,2067.5,1387648,9,4,2277,3938.5
81,1814070,010,J003,대전광역시,81,동구,25,15.4,한방병원,1296.6,997763,388,5,975.8,2793.4
82,1691106,112,J003,경상남도,94,창원시 성산구,38,11.4,한방병원,1063.2,1106688,551,6,1884.2,2586.3
83,1889575,070,J003,경기도,118,평택시,31,3.5,한방병원,1968.2,952856,677,6,2314.4,4524.1
84,2015375,570,J003,강원도,4,화천군,32,1.1,한방병원,2501.3,1016224,14,4,2332.5,5431
85,1950285,040,J003,서울특별시,93,성동구,11,2.5,한방병원,1320,959458,345,4,2159,2948
86,1856632,540,J003,경상북도,2,영양군,37,0.3,한방병원,3861.5,1146951,5,2,3167,7570
87,1863507,580,J003,충청남도,14,태안군,34,2.7,한방병원,2025.6,891188,92,7,2132.3,4145.1
88,1865384,590,J003,충청북도,9,증평군,33,2.2,한방병원,1767.2,1008335,31,3,1835.6,3905.3
89,1964811,104,J003,경기도,96,고양시 일산서구,31,2.9,한방병원,1106.3,931911,416,4,818.9,2919.1
90,1797615,510,J003,경상북도,5,군위군,37,0.8,한방병원,2159.4,1103262,14,3,2521.8,4124
91,1691233,060,J003,부산광역시,118,동래구,21,10.2,한방병원,909.4,1143740,535,5,812.3,2175.5
92,1666623,030,J003,전라남도,59,순천시,36,14.7,한방병원,1935,989909,423,7,1865.2,4553.2
93,1597073,660,J003,전라남도,9,완도군,36,2.2,한방병원,2367.1,925448,25,3,2057.2,4910.7
94,1770779,050,J003,대구광역시,125,북구,22,14,한방병원,1469.7,1097193,518,4,1361.1,3477
95,1701586,510,J003,부산광역시,35,기장군,21,3,한방병원,1989.9,1154663,179,5,2181.5,4840.9
96,1677853,030,J003,광주광역시,61,남구,24,15.4,한방병원,1475.5,941384,733,12,1109.4,3487.8
97,1649301,550,J003,경상남도,11,남해군,38,1.3,한방병원,1782.4,1034901,41,4,1576.7,3604.3
98,1678777,100,J003,부산광역시,90,사하구,21,7.7,한방병원,1442,1134460,410,5,1240,3317.8
99,1955450,070,J003,서울특별시,112,중랑구,11,3,한방병원,1493.4,964062,501,4,966.3,3308.8
100,1704023,650,J003,전라남도,9,장성군,36,2.2,한방병원,1950.1,933520,31,3,2910.1,4321.3
101,1689959,090,J003,부산광역시,128,해운대구,21,11,한방병원,1259.1,1150545,700,5,1187.4,2955
102,1728425,580,J003,경상남도,10,함양군,38,1.2,한방병원,1756.3,1020124,41,4,1579.7,3578.2
103,1702110,111,J003,경상남도,54,창원시 의창구,38,6.6,한방병원,1646.6,1104503,275,5,1805.9,3913.1
104,1949790,050,J003,서울특별시,122,광진구,11,3.3,한방병원,1262,963406,511,4,1047.2,2670.5
105,1964703,103,J003,경기도,73,고양시 일산동구,31,2.2,한방병원,1588.7,938035,493,7,2172.5,3892.5
106,1943469,010,J003,인천광역시,17,중구,23,2.4,한방병원,3662,908825,100,6,6731.1,7972.4
107,1838872,042,J003,충청북도,51,청주시 서원구,33,12.2,한방병원,1630.3,993302,265,5,1452.9,3711
108,1496269,010,J003,제주특별자치도,144,제주시,39,74.6,한방병원,1369.1,909997,636,4,1657.9,3284.6
109,1685766,150,J003,부산광역시,47,사상구,21,4,한방병원,1963.8,1135398,222,5,2613.6,4356.3
110,1685788,050,J003,광주광역시,88,광산구,24,22.2,한방병원,1856.3,931963,919,10,2087.3,4553.6
111,1760325,060,J003,대구광역시,215,수성구,22,24,한방병원,754.5,1104878,1064,5,642.8,1870
112,1791331,510,J003,충청남도,18,금산군,34,3.4,한방병원,1294.4,998054,64,4,1788.4,2742.8
113,1953724,060,J003,서울특별시,167,동대문구,11,4.5,한방병원,917.6,960700,812,5,858,1955.6
114,1978882,260,J003,경기도,33,양주시,31,1,한방병원,2752.6,956087,200,6,3030,6908
115,2019874,580,J003,강원도,4,양구군,32,1.1,한방병원,2183.3,1043899,15,4,2496.8,5020.3
116,2010874,550,J003,경기도,7,연천군,31,0.2,한방병원,2620.3,958251,27,4,3023.9,5681.1
117,1933879,040,J003,인천광역시,86,연수구,23,12,한방병원,1707.3,923961,520,6,1667.5,4378.7
118,1934046,041,J003,경기도,69,안양시 만안구,31,2.1,한방병원,1378.8,947401,320,5,1290,3342.4
119,1756879,060,J003,전라북도,21,김제시,35,3.9,한방병원,1672,945442,90,4,2063,3578.6
120,1933789,250,J003,경기도,66,광주시,31,2,한방병원,2239.8,982402,324,5,2376.7,5590.6
121,1937310,110,J003,경기도,14,과천시,31,0.4,한방병원,1697.2,956007,49,4,2643.8,4632.2
122,1729068,510,J003,울산광역시,43,울주군,26,15.4,한방병원,2068,1152931,159,4,2810.3,4961.6
123,1937139,050,J003,인천광역시,157,남동구,23,22,한방병원,1342.5,931566,995,6,1601.4,3189.2
124,1764377,010,J003,대구광역시,68,중구,22,7.6,한방병원,510,1098725,361,5,1285.5,1052.5
125,1732068,010,J003,울산광역시,49,중구,26,17.5,한방병원,1782.1,1163858,173,4,1240.7,4187.6
126,1961524,110,J003,서울특별시,154,노원구,11,4.2,한방병원,1326.5,962515,733,5,828.3,3206.9
127,1795888,540,J003,충청북도,15,영동군,33,3.6,한방병원,1407.9,1028265,51,3,1196.8,2947.7
128,1961986,101,J003,경기도,115,고양시 덕양구,31,3.4,한방병원,1643.1,945187,511,4,1203.7,3983.5
129,1953308,130,J003,서울특별시,94,서대문구,11,2.5,한방병원,1431.3,950469,517,6,1234.8,3164.9
130,1921449,070,J003,강원도,10,삼척시,32,2.6,한방병원,2955.4,1148603,43,4,3163.6,6313.6
131,1684330,113,J003,경상남도,55,창원시 마산합포구,38,6.7,한방병원,1405.3,1089770,228,4,1205.8,3204.9
132,1826084,550,J003,충청남도,7,청양군,34,1.3,한방병원,1957.1,942011,26,4,1986.6,4149.7
133,1888810,580,J003,충청북도,6,단양군,33,1.4,한방병원,2147.5,1079003,19,3,2673.2,4423.5
134,1892961,220,J003,경기도,32,안성시,31,1,한방병원,2509.4,982460,168,5,3516.8,5769.7
135,1945217,240,J003,서울특별시,256,송파구,11,6.9,한방병원,1013.2,965995,1255,5,1545.8,2422.4
136,1962587,130,J003,경기도,149,남양주시,31,4.4,한방병원,1786.7,977390,743,5,1431,4682.8
137,1480595,020,J003,제주특별자치도,49,서귀포시,39,25.4,한방병원,1510.5,912401,182,4,1615.8,3462.7
138,1882687,610,J003,경상북도,4,봉화군,37,0.6,한방병원,3546.5,1125833,12,3,3063.5,7135.3
139,1743652,580,J003,전라북도,17,부안군,35,3.1,한방병원,1311.1,923643,89,5,1319.8,2726.4
140,1670790,060,J003,전라남도,26,광양시,36,6.5,한방병원,2283.7,1015321,110,4,3458.3,5418.8
141,1945542,200,J003,서울특별시,132,동작구,11,3.6,한방병원,1290.4,951541,513,4,813.6,2811.2
142,1736517,040,J003,울산광역시,37,북구,26,13.2,한방병원,2190.2,1170272,183,5,2917.1,5717.8
143,1877206,012,J003,충청남도,106,천안시 서북구,34,20.3,한방병원,1605.9,969859,832,8,1804.9,3715.5
144,1957902,120,J003,서울특별시,153,은평구,11,4.1,한방병원,1265.5,949435,664,4,682.9,2929.2
145,1946531,580,J003,경기도,32,양평군,31,1,한방병원,1538.6,1007005,161,5,1182.4,3517.1
146,1956365,080,J003,서울특별시,121,성북구,11,3.3,한방병원,1502.7,957400,496,4,999.8,3464.2
147,1774811,020,J003,전라북도,72,군산시,35,13.3,한방병원,1587.2,931192,403,6,1598.1,3580.7
148,2022035,060,J003,강원도,25,속초시,32,6.6,한방병원,1466.2,1090569,97,4,1382.8,3135.9
149,1944433,060,J003,인천광역시,130,부평구,23,18.2,한방병원,1518.4,931150,765,6,1257.2,3601.1
150,1632094,580,J003,전라남도,10,장흥군,36,2.5,한방병원,1653.3,948681,36,4,1629.4,3333.1
151,1937197,022,J003,경기도,72,성남시 중원구,31,2.1,한방병원,1265.8,970272,316,4,1395.2,2823.9
152,1925484,092,J003,경기도,97,안산시 단원구,31,2.9,한방병원,1279.2,937215,702,7,2526.5,3015.6
153,1944250,230,J003,서울특별시,389,강남구,11,10.5,한방병원,542.8,961366,2415,6,2057.2,1258.7
154,1990823,080,J003,경기도,16,동두천시,31,0.5,한방병원,2453.7,962902,76,5,1885,5619.6
155,1947168,190,J003,서울특별시,151,영등포구,11,4.1,한방병원,1116,947876,613,4,2856.2,2363.6
156,1947646,040,J003,강원도,18,동해시,32,4.7,한방병원,2133.1,1138454,69,4,2038.1,4743.4
157,1987802,010,J003,강원도,69,춘천시,32,18.2,한방병원,1765.6,1021092,312,5,1824.2,4047.4
158,2041782,600,J003,강원도,4,고성군,32,1.1,한방병원,2998,1080768,12,3,3865.5,6169.8
159,1780280,590,J003,경상북도,18,칠곡군,37,2.8,한방병원,2662.8,1086737,70,4,3729.4,6063.5
160,1773695,011,J003,경상북도,58,포항시 남구,37,9.2,한방병원,1709.2,1173012,325,6,2220.9,3833.3
161,1960547,090,J003,서울특별시,93,강북구,11,2.5,한방병원,1401.4,956880,390,4,833.6,3068.7
162,1818852,530,J003,경상북도,8,청송군,37,1.3,한방병원,1482.6,1139734,20,2,1528.3,2860.4
163,1843816,041,J003,충청북도,61,청주시 상당구,33,14.6,한방병원,1257.5,1005594,408,7,1018.1,3054.6
164,1796800,012,J003,경상북도,66,포항시 북구,37,10.4,한방병원,1731.5,1158472,296,4,1444,4041.3
165,1682534,560,J003,경상남도,12,하동군,38,1.5,한방병원,1621.4,1027810,35,3,1498.3,3272.3
166,1695477,114,J003,경상남도,46,창원시 마산회원구,38,5.6,한방병원,1668,1094321,218,5,1531.8,3968.1
167,1784988,030,J003,경상북도,25,김천시,37,3.9,한방병원,2404.6,1052027,103,4,2553.7,5357.3
168,1912161,530,J003,강원도,6,영월군,32,1.6,한방병원,2865,1088784,19,3,3397,5850.2
169,1688599,130,J003,부산광역시,85,연제구,21,7.3,한방병원,1014.9,1144137,548,6,1118.4,2339.8
170,1742623,560,J003,경상북도,12,청도군,37,1.9,한방병원,1586.8,1116426,60,5,1417.3,3211.9
171,1697101,110,J003,부산광역시,83,금정구,21,7.1,한방병원,1234.4,1144771,390,5,1218.1,2737.8
172,1799364,060,J003,충청남도,35,논산시,34,6.7,한방병원,1449.2,969230,134,4,1530.4,3173.1
173,1823371,050,J003,대전광역시,48,대덕구,25,9.1,한방병원,1567.4,994133,216,4,2092.4,3567.5
174,1947096,180,J003,경기도,74,하남시,31,2.2,한방병원,1675.8,974014,347,5,1514.1,4054.9
175,1630777,590,J003,전라남도,8,강진군,36,2,한방병원,1919.8,932834,25,3,1804,3897.6
176,1711024,510,J003,경상남도,6,의령군,38,0.7,한방병원,2088.2,1070571,21,4,1915.7,4041.7
177,1810517,070,J003,충청남도,10,계룡시,34,1.9,한방병원,1588.2,976157,39,4,1168.8,4061.4
178,1780820,030,J003,전라북도,84,익산시,35,15.5,한방병원,1427.8,954003,625,7,1446.1,3236
179,1725932,020,J003,울산광역시,114,남구,26,40.7,한방병원,1157.8,1165882,665,6,1518.5,2687.3
180,1726980,030,J003,울산광역시,37,동구,26,13.2,한방병원,1679.8,1174664,136,4,2045.5,4064.5
181,1886425,570,J003,충청북도,20,음성군,33,4.8,한방병원,2052,1010166,71,4,4144.1,4368
182,1945232,050,J003,경기도,234,부천시,31,7,한방병원,1363.1,937136,1424,6,1338.8,3318.2
183,1965612,230,J003,경기도,106,김포시,31,3.2,한방병원,1723.7,920515,694,7,1992,4362.8
184,1724051,530,J003,경상남도,12,창녕군,38,1.5,한방병원,2258.9,1090049,46,4,2360.6,4675.3
185,1862923,011,J003,충청남도,70,천안시 동남구,34,13.4,한방병원,1603.7,975091,298,4,1809.9,3661.4
186,1714087,050,J003,전라북도,20,남원시,35,3.7,한방병원,1719.3,994727,81,4,1547.1,3738.1
187,1740147,540,J003,전라북도,4,장수군,35,0.7,한방병원,2363,1004009,17,4,2452,4946
188,1867811,040,J003,충청남도,57,아산시,34,10.9,한방병원,2373.3,953620,299,5,3466.8,5581.2
189,1895892,030,J003,충청북도,34,제천시,33,8.1,한방병원,1767.3,1056981,199,6,1740.9,3844.3
190,1688812,040,J003,광주광역시,111,북구,24,28,한방병원,1675.5,947690,1249,11,1599.3,3849
191,1771427,530,J003,전라북도,8,무주군,35,1.5,한방병원,1333.6,1019208,22,3,1416.3,2738.4
192,1682549,030,J003,부산광역시,44,동구,21,3.8,한방병원,917.5,1140751,192,4,1736.8,1890.9
193,1683579,120,J003,부산광역시,22,강서구,21,1.9,한방병원,2506.5,1126270,107,5,6504.2,6162.2
194,1680147,630,J003,전라남도,8,함평군,36,2,한방병원,1715.5,912105,29,4,1692.6,3543.4
195,1863557,560,J003,충청북도,5,괴산군,33,1.2,한방병원,3599.4,1029411,16,3,3649.6,7223.2
196,1979855,570,J003,경기도,15,가평군,31,0.4,한방병원,1748.1,995615,56,4,1988,3847.7
197,1880161,080,J003,충청남도,31,당진시,34,5.9,한방병원,2309.7,923918,162,5,3119.4,5174.5
198,1734225,040,J003,전라북도,30,정읍시,35,5.5,한방병원,1553,946185,107,4,1548.7,3341.7
199,1759509,070,J003,대구광역시,176,달서구,22,19.7,한방병원,1293.1,1092938,802,5,1229.8,3052.4
200,1682717,070,J003,부산광역시,94,남구,21,8.1,한방병원,1189.5,1145045,386,4,981.6,2726.9
201,2027061,560,J003,강원도,10,철원군,32,2.6,한방병원,1709.3,992425,29,3,1598.6,3966.9
202,1771515,020,J003,대구광역시,118,동구,22,13.2,한방병원,1229.5,1106953,447,4,1044.8,2780
203,1843255,040,J003,경상북도,43,안동시,37,6.8,한방병원,1669.9,1114515,171,4,1559.2,3609.1
204,1932132,150,J003,경기도,87,시흥시,31,2.6,한방병원,2349.8,936582,853,10,2738.2,5704.3
205,1765288,030,J003,대구광역시,69,서구,22,7.7,한방병원,1071.7,1094755,244,4,1145.4,2336.6
206,1768092,580,J003,경상북도,11,성주군,37,1.7,한방병원,1686.1,1066173,32,3,2314.4,3511.6
207,1929372,170,J003,경기도,32,의왕시,31,1,한방병원,1900.9,954796,89,3,1902.5,4914.9
208,1907264,140,J003,경기도,42,오산시,31,1.3,한방병원,2271,960153,223,5,1803.8,5347.3
209,1890815,020,J003,충청북도,52,충주시,33,12.4,한방병원,1833.7,1035197,309,6,2030.1,3978.5
210,1759147,520,J003,전라북도,5,진안군,35,0.9,한방병원,2145,993679,17,3,2135.8,4443.4
211,1818868,520,J003,경상북도,9,의성군,37,1.4,한방병원,2693.7,1100048,26,3,2113.4,5234.3
212,1833172,550,J003,경상북도,8,영덕군,37,1.3,한방병원,2119.8,1162824,27,3,1824.1,4066.1
213,1918795,192,J003,경기도,94,용인시 기흥구,31,2.8,한방병원,1711.1,966426,466,5,1931.6,4525.4
214,1931789,550,J003,강원도,5,정선군,32,1.3,한방병원,3254.4,1109697,15,3,4114.6,6633
215,1698240,070,J003,경상남도,114,김해시,38,13.9,한방병원,1854,1122348,662,6,2212.1,4556.2
216,1691272,520,J003,전라남도,5,곡성군,36,1.2,한방병원,2560.2,978484,14,3,2731.2,5209
217,1941043,210,J003,서울특별시,157,관악구,11,4.2,한방병원,1609,950955,797,5,793.4,2992.5
218,1749288,570,J003,경상북도,9,고령군,37,1.4,한방병원,1508.4,1072951,28,3,2366.9,3139.8
219,1969907,030,J003,강원도,61,강릉시,32,16.1,한방병원,1624.7,1119321,266,4,1601.3,3469.6
220,1912332,210,J003,경기도,49,이천시,31,1.5,한방병원,1780.2,998312,202,4,2788.5,4438.7
221,1924270,091,J003,경기도,70,안산시 상록구,31,2.1,한방병원,2048.6,944230,592,8,1304.1,4849.8
222,1666242,040,J003,전라남도,27,나주시,36,6.7,한방병원,1861.9,928852,197,7,2317.7,4107.2
223,2007908,590,J003,강원도,5,인제군,32,1.3,한방병원,2669,1066957,17,3,2836.4,5822
224,1761073,020,J003,경상북도,68,경주시,37,10.7,한방병원,1672.9,1159815,274,4,1907.3,3580.9
225,1652485,050,J003,경상남도,25,통영시,38,3,한방병원,2162.2,1083808,107,4,1859.5,4762.4
226,1947596,150,J003,서울특별시,155,양천구,11,4.2,한방병원,1086.2,942501,814,5,834.6,2738.2
227,1801467,050,J003,경상북도,95,구미시,37,15,한방병원,1830.9,1076908,443,5,2154.5,4258.2
228,1669873,060,J003,경상남도,28,사천시,38,3.4,한방병원,1697.7,1054279,121,4,2005,3743.2
229,1668230,570,J003,전라남도,15,화순군,36,3.7,한방병원,1741.3,957428,135,9,1989.8,3900.8
230,1680385,010,J003,광주광역시,38,동구,24,9.6,한방병원,1305.1,949839,350,9,1909.9,2780.4
231,1772622,510,J003,전라북도,25,완주군,35,4.6,한방병원,1584.2,974514,97,4,2443.4,3613.4
232,1951214,080,J003,인천광역시,107,서구,23,15,한방병원,1964.9,924891,688,6,2117.9,4955.4
233,1940319,180,J003,서울특별시,76,금천구,11,2,한방병원,1413.6,947013,535,7,3330.3,2900.6
234,1951288,540,J003,강원도,9,평창군,32,2.4,한방병원,2057.7,1086786,28,3,2282.4,4182.6
235,1690162,030,J003,경상남도,99,진주시,38,12.1,한방병원,1509.8,1057333,483,5,1506.8,3479.6
236,1679989,010,J003,부산광역시,24,중구,21,2.1,한방병원,889.7,1139637,197,8,2869.9,1625.7
237,1611017,670,J003,전라남도,6,진도군,36,1.5,한방병원,2269.3,886468,14,2,1844.7,4504.7
238,1654013,090,J003,경상남도,39,거제시,38,4.8,한방병원,2487.4,1102429,173,4,2667.3,5959.2
239,1865711,050,J003,충청남도,35,서산시,34,6.7,한방병원,2156.7,906339,140,4,2388.1,4860.8
240,1660640,620,J003,전라남도,17,무안군,36,4.2,한방병원,2193.8,905064,131,8,2109.9,5141.1
241,1951273,140,J003,서울특별시,157,마포구,11,4.2,한방병원,1045.1,947740,772,5,1769,2230.3
242,1731360,600,J003,경상남도,13,합천군,38,1.6,한방병원,1564,1058131,40,3,1267.5,3053.7
243,1926137,193,J003,경기도,100,용인시 수지구,31,3,한방병원,1319.2,962042,435,4,868.7,3558.6
244,1943524,020,J003,인천광역시,18,동구,23,2.5,한방병원,1443.6,923886,71,4,2220,3302.1
245,1755137,011,J003,전라북도,139,전주시 완산구,35,25.7,한방병원,1047.5,965321,976,7,967.1,2403.3
246,1971868,510,J003,강원도,11,홍천군,32,2.9,한방병원,2695.4,1050589,40,4,2688.1,5791.4
247,1882730,620,J003,경상북도,9,울진군,37,1.4,한방병원,2430.7,1161264,32,4,2407,4921.3
248,1693485,530,J003,전라남도,7,구례군,36,1.7,한방병원,1594.3,1000286,27,4,1393.6,3305.3
